Diet	Korean	Korean	Korean	Korean	Korean	Korean	Western	Western	Western	Western	Western	Western
Limosilactobacillus gastricus	0	0	0	0	0	0	0	6	0	0	0	0
Loigolactobacillus coryniformis	0	0	0	0	0	0	0	11	0	0	0	0
Fructilactobacillus frigidiflavus	0	0	0	0	0	0	0	5	0	0	0	0
Alkalibacterium sp. f15	0	0	0	0	0	0	0	5	0	8	0	0
Aerococcus urinaehominis	0	0	0	0	0	0	0	6	0	0	0	0
Bacillus manliponensis	0	0	0	0	0	0	0	5	0	0	0	0
Bacillus smithii	0	0	0	0	0	0	0	16	0	0	0	0
Bacillus kandeliae	0	0	0	0	0	0	0	9	10	6	0	22
Neobacillus mesonae	0	0	0	0	0	0	0	61	0	0	0	0
Neobacillus sp. OS1-33	0	0	0	0	0	0	0	9	0	0	0	0
Neobacillus cucumis	0	0	0	0	0	0	0	9	0	0	0	7
Niallia tiangongensis	0	0	0	0	0	0	0	29	13	10	0	0
Cytobacillus firmus	0	0	0	0	0	0	0	20	0	0	0	0
Cytobacillus horneckiae	0	0	0	0	0	0	0	8	0	0	0	0
Metabacillus sp. B2-18	0	0	0	0	0	0	0	40	0	0	0	0
Metabacillus sediminilitoris	0	0	0	0	0	0	0	8	0	0	0	5
Lysinibacillus sp. FSL H8-0500	0	0	0	0	0	0	0	23	0	0	0	0
Heyndrickxia vini	0	0	0	0	0	0	0	10	0	0	0	0
Psychrobacillus psychrotolerans	0	0	0	0	0	0	0	24	0	0	0	0
Mesobacillus subterraneus	0	0	0	0	0	0	0	6	0	5	0	0
Paenalkalicoccus suaedae	0	0	0	0	0	0	0	23	0	0	0	0
Paenibacillus sp. FSL L8-0340	0	0	0	0	0	0	0	86	39	33	0	30
Paenibacillus sp. SI8	0	0	0	0	0	0	0	11	0	0	0	0
Paenibacillus sp. FSL R7-0331	0	0	0	0	0	0	0	14	0	0	0	0
Paenibacillus sp. SN-8-1	0	0	0	0	0	0	0	9	0	6	0	0
Paenibacillus sp. H1-7	0	0	0	0	0	0	0	5	0	0	0	0
Paenibacillus sp. FSL H8-0079	0	0	0	0	0	0	0	12	0	0	0	0
Paenibacillus hexagrammi	0	0	0	0	0	0	0	13	5	21	0	0
Paenibacillus jilunlii	0	0	0	0	0	0	0	15	0	0	0	0
Paenibacillus taichungensis	0	0	0	0	0	0	0	11	0	0	0	0
Cohnella candidum	0	0	0	0	0	0	0	52	0	0	12	36
Aneurinibacillus soli	0	0	0	0	0	0	0	15	0	0	0	0
Staphylococcus simiae	0	0	0	0	0	0	0	12	0	0	0	0
Macrococcus animalis	0	0	0	0	0	0	0	22	0	0	0	0
Jeotgalicoccus sp. WY2	0	0	0	0	0	0	0	8	0	0	0	0
Planococcus maritimus	0	0	0	0	0	0	0	6	0	0	0	0
Solibacillus sp. FSL W8-0372	0	0	0	0	0	0	0	14	0	0	0	0
Solibacillus sp. FSL H8-0523	0	0	0	0	0	0	0	14	0	0	0	0
Solibacillus sp. FSL R5-0449	0	0	0	0	0	0	0	10	0	0	0	0
Paenisporosarcina cavernae	0	0	0	0	0	0	0	11	0	0	0	0
Parageobacillus sp. KH3-4	0	0	0	0	0	0	0	7	0	0	0	0
Fictibacillus phosphorivorans	0	0	0	0	0	0	0	15	0	0	0	0
Pseudalkalibacillus sp. A8	0	0	0	0	0	0	0	7	0	0	0	0
Keratinibaculum paraultunense	0	0	0	0	0	0	0	5	8	5	0	0
Collinsella sp. zg1085	0	0	0	0	0	0	0	6	0	0	0	0
Bifidobacterium sp. ESL0769	0	0	0	0	0	0	0	10	0	0	0	0
Gardnerella sp. KA00243	0	0	0	0	0	0	0	175	0	0	0	0
Alloscardovia omnicolens	0	0	0	0	0	0	0	5	0	0	21	0
Rhodococcus coprophilus	0	0	0	0	0	0	0	7	0	0	0	0
Rhodococcus qingshengii	0	0	0	0	0	0	0	12	0	0	0	0
Nocardia nova	0	0	0	0	0	0	0	15	0	0	0	0
Corynebacterium simulans	0	0	0	0	0	0	0	48	0	0	0	22
Corynebacterium ciconiae	0	0	0	0	0	0	0	19	0	0	0	68
Corynebacterium choanae	0	0	0	0	0	0	0	5	0	0	0	0
Corynebacterium ihumii	0	0	0	0	0	0	0	30	0	0	0	0
Candidatus Mycobacterium wuenschmannii	0	0	0	0	0	0	0	6	0	0	0	0
Gordonia hydrophobica	0	0	0	0	0	0	0	19	0	0	0	0
Plantibacter sp. M259	0	0	0	0	0	0	0	7	0	0	0	0
Leucobacter triazinivorans	0	0	0	0	0	0	0	7	0	0	0	0
Curtobacterium sp. 458	0	0	0	0	0	0	0	14	0	0	0	9
Pseudarthrobacter sp. IC2-21	0	0	0	0	0	0	0	29	0	0	0	0
Citricoccus sp. SGAir0253	0	0	0	0	0	0	0	12	0	0	0	0
Cellulomonas wangsupingiae	0	0	0	0	0	0	0	13	0	0	0	0
Cellulomonas sp. ES6	0	0	0	0	0	0	0	7	0	0	0	0
Xylanimonas allomyrinae	0	0	0	0	0	0	0	6	0	0	0	0
Demequina sediminis	0	0	0	0	0	0	0	6	0	0	0	0
Streptomyces sp. SCSIO ZS0520	0	0	0	0	0	0	0	19	0	0	0	0
Streptomyces sp. Y1	0	0	0	0	0	0	0	6	0	0	0	0
Streptomyces xanthophaeus	0	0	0	0	0	0	0	35	0	0	0	0
Streptomyces incarnatus	0	0	0	0	0	0	0	22	0	0	0	0
Actinomyces viscosus	0	0	0	0	0	0	0	21	0	0	0	0
Pauljensenia hongkongensis	0	0	0	0	0	0	0	12	0	0	0	6
Micromonospora sp. NBC_01813	0	0	0	0	0	0	0	32	0	0	0	0
Dactylosporangium sp. CS-033363	0	0	0	0	0	0	0	14	0	0	0	0
Actinocatenispora thailandica	0	0	0	0	0	0	0	8	0	0	0	0
Amycolatopsis albispora	0	0	0	0	0	0	0	14	0	0	0	0
Prauserella marina	0	0	0	0	0	0	0	7	0	0	0	7
Microtetraspora malaysiensis	0	0	0	0	0	0	0	14	0	0	0	0
Actinoallomurus sp. CA-150999	0	0	0	0	0	0	0	8	0	0	0	0
Candidatus Nanopelagicus abundans	0	0	0	0	0	0	0	6	0	0	0	0
Modestobacter sp. L9-4	0	0	0	0	0	0	0	9	0	0	0	0
Svornostia abyssi	0	0	0	0	0	0	0	7	0	0	0	0
Phormidium nigroviride	0	0	0	0	0	0	0	5	0	0	0	0
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	0	0	0	0	0	0	0	7	0	0	0	0
Synechococcus sp. BMK-MC-1	0	0	0	0	0	0	0	82	0	0	0	0
Leptolyngbya sp. BL0902	0	0	0	0	0	0	0	9	0	0	11	0
Nodosilinea sp. E11	0	0	0	0	0	0	0	5	0	0	0	0
Gloeobacter kilaueensis	0	0	0	0	0	0	0	5	0	0	0	0
Spiroplasma endosymbiont of Clivina fossor	0	0	0	0	0	0	0	50	0	0	10	0
Mycoplasma sp. Mirounga ES2805-ORL	0	0	0	0	0	0	0	14	0	0	0	0
Mycoplasmopsis californica	0	0	0	0	0	0	0	14	0	0	0	0
[Mycoplasma] gypis	0	0	0	0	0	0	0	17	0	0	0	0
Thermoflexus hugenholtzii	0	0	0	0	0	0	0	11	0	0	10	0
Fusobacterium hominis	0	0	0	0	0	0	0	49	0	0	0	0
Fervidobacterium pennivorans	0	0	0	0	0	0	0	75	0	0	0	7
Oceanotoga sp. DSM 15011	0	0	0	0	0	0	0	7	0	0	0	0
Methanosphaera sp. BMS	0	0	0	0	0	0	0	10	0	0	0	0
Caldisphaera lagunensis	0	0	0	0	0	0	0	8	0	5	6	0
Petrimonas sulfuriphila	0	0	0	0	0	0	0	0	81	113	0	0
Flavobacterium sp. KS-LB2	0	0	0	0	0	0	0	0	152	153	0	0
Flavobacterium magnum	0	0	0	0	0	0	0	0	17	28	0	0
Flavobacterium channae	0	0	0	0	0	0	0	0	9	58	0	0
Flavobacterium agricola	0	0	0	0	0	0	0	0	5	8	0	0
Formosa sp. Hel1_33_131	0	0	0	0	0	0	0	0	71	39	10	12
Polaribacter sp. Hel1_33_78	0	0	0	0	0	0	0	0	184	400	0	0
Polaribacter sp. KT25b	0	0	0	0	0	0	0	0	14	0	0	0
Polaribacter gangjinensis	0	0	0	0	0	0	0	0	8	9	0	0
Christiangramia sp. LLG6405-1	0	0	0	0	0	0	0	0	162	125	8	0
Capnocytophaga sp. oral taxon 878	0	0	0	0	0	0	0	0	15	76	0	0
Kordia sp. SMS9	0	0	0	0	0	0	0	0	37	32	0	0
Winogradskyella ouciana	0	0	0	0	0	0	0	0	43	63	0	0
Aggregatimonas sangjinii	0	0	0	0	0	0	0	0	38	47	0	0
Zobellia galactanivorans	0	0	0	0	0	0	0	0	33	24	0	0
Cellulophaga sp. L1A9	0	0	0	0	0	0	0	0	19	15	0	0
Cellulophaga baltica	0	0	0	0	0	0	0	0	15	11	0	0
Leeuwenhoekiella sp. LLG6367-2.1	0	0	0	0	0	0	0	0	12	0	0	0
Leeuwenhoekiella sp. H156	0	0	0	0	0	0	0	0	6	0	0	0
Leeuwenhoekiella sp. ZYFB001	0	0	0	0	0	0	0	0	14	0	0	0
Nonlabens sp. Hel1_33_55	0	0	0	0	0	0	0	0	18	0	0	0
Aquimarina sp. AD10	0	0	0	0	0	0	0	0	16	22	0	0
Antarcticibacterium flavum	0	0	0	0	0	0	0	0	20	0	0	0
Seonamhaeicola sp. MEBiC01930	0	0	0	0	0	0	0	0	17	18	0	0
Arenibacter antarcticus	0	0	0	0	0	0	0	0	19	21	0	0
Urechidicola croceus	0	0	0	0	0	0	0	0	21	68	0	0
Salinimicrobium sp. TIG7-5_MAKvit	0	0	0	0	0	0	0	0	9	0	0	0
Zhouia spongiae	0	0	0	0	0	0	0	0	10	5	0	0
Candidatus Arcticimaribacter forsetii	0	0	0	0	0	0	0	0	7	0	0	0
Oceanihabitans sp. IOP_32	0	0	0	0	0	0	0	0	6	24	0	0
Gilvibacter sp.	0	0	0	0	0	0	0	0	5	0	0	0
Faecalibacter sp. LW9	0	0	0	0	0	0	0	0	21	0	6	0
Cloacibacterium sp. TD35	0	0	0	0	0	0	0	0	15	12	0	0
Weeksella virosa	0	0	0	0	0	0	0	0	18	10	0	0
Hymenobacter radiodurans	0	0	0	0	0	0	0	0	91	0	0	0
Hymenobacter tibetensis	0	0	0	0	0	0	0	0	10	0	0	0
Spirosoma sp. KCTC 42546	0	0	0	0	0	0	0	0	48	18	0	0
Spirosoma sp. KNUC1025	0	0	0	0	0	0	0	0	22	35	6	0
Dyadobacter fanqingshengii	0	0	0	0	0	0	0	0	8	14	0	0
Flammeovirga yaeyamensis	0	0	0	0	0	0	0	0	14	0	0	0
Bernardetia sp. ABR2-2B	0	0	0	0	0	0	0	0	8	8	0	0
Mucilaginibacter ginkgonis	0	0	0	0	0	0	0	0	13	0	5	0
Sphingobacterium sp. G1-14	0	0	0	0	0	0	0	0	44	0	0	0
Sphingobacterium sp. WOUb80	0	0	0	0	0	0	0	0	16	15	0	0
Sphingobacterium sp. WM	0	0	0	0	0	0	0	0	13	11	0	0
Sphingobacterium sp. SYP-B4668	0	0	0	0	0	0	0	0	6	10	0	7
Olivibacter sp. LS-1	0	0	0	0	0	0	0	0	99	102	0	0
Pedobacter sp. AW1-32	0	0	0	0	0	0	0	0	7	0	0	0
Flavihumibacter rivuli	0	0	0	0	0	0	0	0	50	63	0	0
Arachidicoccus ginsenosidivorans	0	0	0	0	0	0	0	0	13	10	0	0
Rhizosphaericola mali	0	0	0	0	0	0	0	0	12	0	0	5
Filimonas lacunae	0	0	0	0	0	0	0	0	8	35	0	0
Pelodictyon luteolum	0	0	0	0	0	0	0	0	45	54	0	0
Pelodictyon phaeoclathratiforme	0	0	0	0	0	0	0	0	8	29	0	0
Chlorobaculum limnaeum	0	0	0	0	0	0	0	0	32	31	0	0
Rhodothermus marinus	0	0	0	0	0	0	0	0	31	28	6	0
Aeromonas hydrophila	0	0	0	0	0	0	0	0	617	346	0	0
Aeromonas salmonicida	0	0	0	0	0	0	0	0	37	0	0	0
Dongshaea marina	0	0	0	0	0	0	0	0	66	44	0	0
Mannheimia haemolytica	0	0	0	0	0	0	0	0	477	114	0	0
Pasteurella multocida	0	0	0	0	0	0	0	0	241	92	8	0
Glaesserella parasuis	0	0	0	0	0	0	0	0	168	36	0	0
Glaesserella sp. 15-184	0	0	0	0	0	0	0	0	19	35	24	12
Aggregatibacter sp. 2125159857	0	0	0	0	0	0	0	0	43	0	0	0
Gallibacterium anatis	0	0	0	0	0	0	0	0	34	13	0	0
Enterobacteriaceae endosymbiont of Plateumaris braccata	0	0	0	0	0	0	0	0	293	80	0	0
Enterobacteriaceae endosymbiont of Plateumaris rustica	0	0	0	0	0	0	0	0	20	16	0	0
secondary endosymbiont of Heteropsylla cubana	0	0	0	0	0	0	0	0	150	26	0	0
Candidatus Blochmanniella vafra	0	0	0	0	0	0	0	0	18	0	0	0
Enterobacter oligotrophicus	0	0	0	0	0	0	0	0	74	67	0	0
Mixta hanseatica	0	0	0	0	0	0	0	0	25	14	0	0
Yersinia ruckeri	0	0	0	0	0	0	0	0	308	111	0	0
Rahnella aceris	0	0	0	0	0	0	0	0	28	10	0	6
Serratia sp. UGAL515B_01	0	0	0	0	0	0	0	0	9	0	0	0
Providencia sp. R33	0	0	0	0	0	0	0	0	216	84	0	0
Providencia alcalifaciens	0	0	0	0	0	0	0	0	61	22	0	0
Xenorhabdus stockiae	0	0	0	0	0	0	0	0	26	0	0	0
Proteus hauseri	0	0	0	0	0	0	0	0	21	16	0	0
Dickeya chrysanthemi	0	0	0	0	0	0	0	0	14	10	0	0
Pragia fontium	0	0	0	0	0	0	0	0	12	13	0	0
Shewanella halifaxensis	0	0	0	0	0	0	0	0	431	120	0	0
Shewanella psychrophila	0	0	0	0	0	0	0	0	433	133	0	6
Shewanella sp. SNU WT4	0	0	0	0	0	0	0	0	79	31	0	0
Shewanella yunxiaonensis	0	0	0	0	0	0	0	0	59	20	0	0
Shewanella psychrotolerans	0	0	0	0	0	0	0	0	33	0	0	0
Psychrobium sp. nBUS_13	0	0	0	0	0	0	0	0	64	29	0	0
Thalassotalea sp. PS06	0	0	0	0	0	0	0	0	175	174	0	0
Thalassotalea aquiviva	0	0	0	0	0	0	0	0	108	27	0	0
Thalassotalea piscium	0	0	0	0	0	0	0	0	81	36	0	0
Thalassotalea crassostreae	0	0	0	0	0	0	0	0	41	19	0	0
Thalassotalea agarivorans	0	0	0	0	0	0	0	0	6	10	0	0
Alteromonas sp. B31-7	0	0	0	0	0	0	0	0	361	0	0	40
Paraglaciecola sp. L3A3	0	0	0	0	0	0	0	0	222	64	0	0
Paraneptunicella aestuarii	0	0	0	0	0	0	0	0	94	24	0	0
Catenovulum adriaticum	0	0	0	0	0	0	0	0	54	35	0	0
Alkalimarinus sediminis	0	0	0	0	0	0	0	0	15	22	0	0
Pseudoalteromonas rhizosphaerae	0	0	0	0	0	0	0	0	131	52	10	0
Pseudoalteromonas phenolica	0	0	0	0	0	0	0	0	12	19	0	0
Vibrio misgurnus	0	0	0	0	0	0	0	0	372	32	0	0
Vibrio fluvialis	0	0	0	0	0	0	0	0	758	308	0	0
Vibrio maritimus	0	0	0	0	0	0	0	0	53	10	0	0
Vibrio gangliei	0	0	0	0	0	0	0	0	22	32	0	0
Vibrio diazotrophicus	0	0	0	0	0	0	0	0	22	22	0	0
Grimontia kaedaensis	0	0	0	0	0	0	0	0	316	107	0	0
Photobacterium profundum	0	0	0	0	0	0	0	0	96	56	0	0
Photobacterium toruni	0	0	0	0	0	0	0	0	87	31	0	0
Photobacterium leiognathi	0	0	0	0	0	0	0	0	15	0	22	16
Parasalinivibrio latis	0	0	0	0	0	0	0	0	25	24	0	0
Salinivibrio kushneri	0	0	0	0	0	0	0	0	9	6	0	0
Acinetobacter sp. Z1	0	0	0	0	0	0	0	0	172	58	0	0
Acinetobacter haemolyticus	0	0	0	0	0	0	0	0	146	22	0	0
Acinetobacter schindleri	0	0	0	0	0	0	0	0	81	31	0	0
Acinetobacter ursingii	0	0	0	0	0	0	0	0	68	0	0	0
Psychrobacter sp. P11G3	0	0	0	0	0	0	0	0	401	105	0	0
Psychrobacter sp. DM4	0	0	0	0	0	0	0	0	19	26	0	0
Faucicola osloensis	0	0	0	0	0	0	0	0	32	41	0	0
Pseudomonas sp. 10S4	0	0	0	0	0	0	0	0	32	15	0	0
Pseudomonas sp. AK181	0	0	0	0	0	0	0	0	17	60	0	0
Pseudomonas corrugata	0	0	0	0	0	0	0	0	54	32	0	0
Pseudomonas monachiensis	0	0	0	0	0	0	0	0	22	48	0	0
Azotobacter salinestris	0	0	0	0	0	0	0	0	209	140	0	0
Entomomonas sp. E2T0	0	0	0	0	0	0	0	0	36	24	0	0
Marinobacter sp. es.042	0	0	0	0	0	0	0	0	452	146	0	0
Marinobacter sp. LV10R510-11A	0	0	0	0	0	0	0	0	296	77	0	0
Candidatus Njordibacter sp. Uisw_002	0	0	0	0	0	0	0	0	41	0	0	0
Candidatus Njordibacter sp. Uisw_039	0	0	0	0	0	0	0	0	16	0	0	0
Neptuniibacter marinus	0	0	0	0	0	0	0	0	433	135	0	0
Marinomonas foliarum	0	0	0	0	0	0	0	0	59	24	0	0
Aliamphritea ceti	0	0	0	0	0	0	0	0	64	17	0	0
Endozoicomonas sp. 8E	0	0	0	0	0	0	0	0	179	74	0	15
Halomonas sp. GD1P12	0	0	0	0	0	0	0	0	49	0	15	0
Halotalea alkalilenta	0	0	0	0	0	0	0	0	28	24	5	0
Hydrocarboniphaga effusa	0	0	0	0	0	0	0	0	502	132	0	0
Francisella tularensis	0	0	0	0	0	0	0	0	168	69	0	0
Thiomicrospira aerophila	0	0	0	0	0	0	0	0	96	94	0	0
Thiomicrospira microaerophila	0	0	0	0	0	0	0	0	6	0	0	0
Thiomicrorhabdus lithotrophica	0	0	0	0	0	0	0	0	12	0	0	0
Legionella fallonii	0	0	0	0	0	0	0	0	248	53	0	0
Cellvibrio sp. PSBB023	0	0	0	0	0	0	0	0	156	154	0	0
Saccharophagus degradans	0	0	0	0	0	0	0	0	60	18	0	0
Microbulbifer sp. A4B17	0	0	0	0	0	0	0	0	20	33	0	0
Microbulbifer spongiae	0	0	0	0	0	0	0	0	23	13	0	0
Celerinatantimonas diazotrophica	0	0	0	0	0	0	0	0	14	6	0	0
Candidatus Nitrosoglobus terrae	0	0	0	0	0	0	0	0	79	28	0	0
Sediminicurvatus halobius	0	0	0	0	0	0	0	0	44	77	0	0
Methylococcus sp. EFPC2	0	0	0	0	0	0	0	0	17	23	0	0
Xanthomonas arboricola	0	0	0	0	0	0	0	0	57	78	0	0
Lysobacter soyae	0	0	0	0	0	0	0	0	10	50	0	0
Dichelobacter nodosus	0	0	0	0	0	0	0	0	9	0	0	0
Neopusillimonas maritima	0	0	0	0	0	0	0	0	177	76	0	0
Collimonas arenae	0	0	0	0	0	0	0	0	348	124	0	0
Collimonas pratensis	0	0	0	0	0	0	0	0	9	33	0	0
Massilia putida	0	0	0	0	0	0	0	0	14	39	0	0
Undibacterium cyanobacteriorum	0	0	0	0	0	0	0	0	5	0	0	0
Paraburkholderia largidicola	0	0	0	0	0	0	0	0	235	121	0	0
Ralstonia mannitolilytica	0	0	0	0	0	0	0	0	37	0	0	0
Ralstonia pickettii	0	0	0	0	0	0	0	0	60	62	0	0
Burkholderia pseudomallei	0	0	0	0	0	0	0	0	77	43	0	0
Pandoraea commovens	0	0	0	0	0	0	0	0	14	0	0	0
Cupriavidus metallidurans	0	0	0	0	0	0	0	0	12	49	14	0
Candidatus Vallotia laricis	0	0	0	0	0	0	0	0	7	14	0	0
Comamonas aquatica	0	0	0	0	0	0	0	0	165	277	0	0
Acidovorax temperans	0	0	0	0	0	0	0	0	16	21	0	36
Sphaerotilus microaerophilus	0	0	0	0	0	0	0	0	14	27	0	0
Silvimonas soli	0	0	0	0	0	0	0	0	13	28	0	0
Deefgea piscis	0	0	0	0	0	0	0	0	7	14	0	0
Candidatus Nitrotoga arctica	0	0	0	0	0	0	0	0	78	53	0	5
Methylotenera mobilis	0	0	0	0	0	0	0	0	19	8	0	0
Bradyrhizobium sp. BLXBL-03	0	0	0	0	0	0	0	0	80	86	0	0
Mesorhizobium sp. NZP2298	0	0	0	0	0	0	0	0	15	0	0	0
Nitratireductor rhodophyticola	0	0	0	0	0	0	0	0	27	0	0	0
Phyllobacterium zundukense	0	0	0	0	0	0	0	0	6	8	0	0
Roseibium sp. Sym1	0	0	0	0	0	0	0	0	10	33	0	0
Methylobacterium flocculans	0	0	0	0	0	0	0	0	27	15	0	0
Devosia rhizoryzae	0	0	0	0	0	0	0	0	12	71	0	0
Candidatus Endolissoclinum faulkneri	0	0	0	0	0	0	0	0	260	111	0	0
Ferrovibrio terrae	0	0	0	0	0	0	0	0	84	28	0	0
Azospirillum sp. B2RO_4	0	0	0	0	0	0	0	0	105	147	0	0
Hwanghaeella sp.	0	0	0	0	0	0	0	0	25	0	0	0
Paracoccus marcusii	0	0	0	0	0	0	0	0	10	50	0	14
Yoonia phaeophyticola	0	0	0	0	0	0	0	0	11	8	0	0
Tabrizicola sp. M-4	0	0	0	0	0	0	0	0	12	34	0	0
Sphingomonas pseudosanguinis	0	0	0	0	0	0	0	0	8	8	0	0
Erythrobacter sp. HL-111	0	0	0	0	0	0	0	0	17	11	0	0
Qipengyuania sp. DGS2-2	0	0	0	0	0	0	0	0	6	0	0	0
Sphingobium sp. RAC03	0	0	0	0	0	0	0	0	21	14	0	0
Brevundimonas albigilva	0	0	0	0	0	0	0	0	53	65	0	0
Caulobacter sp. NIBR1757	0	0	0	0	0	0	0	0	7	8	0	0
Candidatus Pelagibacter sp. Uisw_090	0	0	0	0	0	0	0	0	55	23	0	0
Asaia bogorensis	0	0	0	0	0	0	0	0	11	17	0	0
Neoehrlichia mikurensis	0	0	0	0	0	0	0	0	12	12	0	0
Candidatus Midichloria mitochondrii	0	0	0	0	0	0	0	0	13	0	0	0
Kordiimonas sp.	0	0	0	0	0	0	0	0	15	53	0	0
Acidithiobacillus ferriphilus	0	0	0	0	0	0	0	0	6	8	0	0
Elusimicrobium minutum	0	0	0	0	0	0	0	0	742	138	0	0
Parelusimicrobium proximum	0	0	0	0	0	0	0	0	1148	172	0	0
Arcobacter roscoffensis	0	0	0	0	0	0	0	0	82	11	0	0
Helicobacter gastrocanis	0	0	0	0	0	0	0	0	52	15	0	0
Sulfurimonas gotlandica	0	0	0	0	0	0	0	0	11	36	0	0
Pseudodesulfovibrio cashew	0	0	0	0	0	0	0	0	244	115	0	0
Pseudodesulfovibrio sediminis	0	0	0	0	0	0	0	0	21	8	0	0
Solidesulfovibrio magneticus	0	0	0	0	0	0	0	0	88	111	0	0
Desulfovibrio ferrophilus	0	0	0	0	0	0	0	0	13	15	0	0
Desulfolutivibrio sulfodismutans	0	0	0	0	0	0	0	0	8	12	0	0
Desulfuromonas versatilis	0	0	0	0	0	0	0	0	5	9	0	0
Desulfocapsa sulfexigens	0	0	0	0	0	0	0	0	9	9	0	0
Desulfomonile tiedjei	0	0	0	0	0	0	0	0	5	0	0	0
Isosphaera pallida	0	0	0	0	0	0	0	0	67	6	0	0
Tundrisphaera sp. TA3	0	0	0	0	0	0	0	0	8	6	0	0
Stieleria bergensis	0	0	0	0	0	0	0	0	20	26	0	0
Rubripirellula lacrimiformis	0	0	0	0	0	0	0	0	6	0	0	0
Candidatus Rhabdochlamydia oedothoracis	0	0	0	0	0	0	0	0	48	15	0	0
Chlamydia crocodili	0	0	0	0	0	0	0	0	7	9	0	0
Candidatus Velamenicoccus archaeovorus	0	0	0	0	0	0	0	0	34	52	0	0
Tunturiibacter psychrotolerans	0	0	0	0	0	0	0	0	91	45	0	10
Alloacidobacterium dinghuense	0	0	0	0	0	0	0	0	72	17	0	0
Silvibacterium acidisoli	0	0	0	0	0	0	0	0	8	0	0	0
Leptospira noguchii	0	0	0	0	0	0	0	0	6	12	0	0
Myxococcus sp. MxC21-1	0	0	0	0	0	0	0	0	13	23	0	0
Sorangium sp. So ce1389	0	0	0	0	0	0	0	0	12	29	0	0
Sorangium sp. So ce1335	0	0	0	0	0	0	0	0	6	0	0	0
Thermodesulfobium narugense	0	0	0	0	0	0	0	0	39	0	0	0
Clostridium diolis	0	0	0	0	0	0	0	0	84	40	0	0
Syntrophothermus lipocalidus	0	0	0	0	0	0	0	0	10	8	0	0
Dialister massiliensis	0	0	0	0	0	0	0	0	455	170	0	58156
Streptococcus sp. KHUD_016	0	0	0	0	0	0	0	0	36	34	0	0
Streptococcus merionis	0	0	0	0	0	0	0	0	221	71	0	9
Streptococcus constellatus	0	0	0	0	0	0	0	0	22	33	39	25
Lactobacillus taiwanensis	0	0	0	0	0	0	0	0	31	0	0	0
Lactobacillus paragasseri	0	0	0	0	0	0	0	0	211	350	0	0
Pediococcus siamensis	0	0	0	0	0	0	0	0	73	0	0	0
Weissella soli	0	0	0	0	0	0	0	0	25	0	0	0
Fructilactobacillus lindneri	0	0	0	0	0	0	0	0	5	0	0	0
Enterococcus saccharolyticus	0	0	0	0	0	0	0	0	5	0	0	0
Tuanshanicoccus lijuaniae	0	0	0	0	0	0	0	0	28	6	15	27
Bacillus paranthracis	0	0	0	0	0	0	0	0	61	32	0	0
Bacillus sp. DTU_2020_1000418_1_SI_GHA_SEK_038	0	0	0	0	0	0	0	0	7	0	0	0
Bacillus safensis	0	0	0	0	0	0	0	0	62	8	0	0
Bacillus cabrialesii	0	0	0	0	0	0	0	0	11	0	0	0
Bacillus fonticola	0	0	0	0	0	0	0	0	6	0	0	0
Fervidibacillus halotolerans	0	0	0	0	0	0	0	0	185	53	0	0
Neobacillus sp. SuZ13	0	0	0	0	0	0	0	0	23	0	0	0
Virgibacillus sp. CBA3643	0	0	0	0	0	0	0	0	20	15	0	0
Paenibacillus sp. KACC 21273	0	0	0	0	0	0	0	0	102	112	0	0
Paenibacillus sp. WLX1005	0	0	0	0	0	0	0	0	121	0	0	0
Paenibacillus sp. FSL R10-2782	0	0	0	0	0	0	0	0	12	0	0	0
Paenibacillus tundrae	0	0	0	0	0	0	0	0	27	23	0	0
Paenibacillus hunanensis	0	0	0	0	0	0	0	0	10	14	0	0
Pristimantibacillus sp. PTI5	0	0	0	0	0	0	0	0	11	8	0	0
Nosocomiicoccus ampullae	0	0	0	0	0	0	0	0	229	69	0	0
Staphylococcus rostri	0	0	0	0	0	0	0	0	6	0	0	0
Planococcus sp. 11815	0	0	0	0	0	0	0	0	72	51	0	0
Planococcus massiliensis	0	0	0	0	0	0	0	0	42	0	0	0
Bifidobacterium sp. ESL0704	0	0	0	0	0	0	0	0	7	32	0	0
Gardnerella sp. KA00255	0	0	0	0	0	0	0	0	105	64	0	0
Arthrobacter sp. G.S.26	0	0	0	0	0	0	0	0	43	23	0	0
Arthrobacter caoxuetaonis	0	0	0	0	0	0	0	0	82	0	0	0
Rothia aeria	0	0	0	0	0	0	0	0	5	9	0	0
Glutamicibacter creatinolyticus	0	0	0	0	0	0	0	0	50	0	0	0
Glutamicibacter arilaitensis	0	0	0	0	0	0	0	0	6	5	0	0
Leucobacter sp. W1153	0	0	0	0	0	0	0	0	80	52	0	0
Microbacterium sp. R86528	0	0	0	0	0	0	0	0	13	25	0	0
Antiquaquibacter oligotrophicus	0	0	0	0	0	0	0	0	29	32	0	0
Leifsonia poae	0	0	0	0	0	0	0	0	6	9	0	0
Ornithinimicrobium faecis	0	0	0	0	0	0	0	0	21	14	0	0
Ruania halotolerans	0	0	0	0	0	0	0	0	13	0	0	0
Janibacter cremeus	0	0	0	0	0	0	0	0	6	0	0	0
Jonesia denitrificans	0	0	0	0	0	0	0	0	6	0	0	0
Streptomyces sp. HUAS TT7	0	0	0	0	0	0	0	0	189	164	0	0
